name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig9_max_min_fairness_0.4jph_single_s2,max_min_fairness,0.4,68.30,95117.25,0.0968,False
fig10_max_min_fairness_perf_1.2jph_multi_s0,max_min_fairness_perf,1.2,71.49,55902.17,0.3444,True
fig10_max_min_fairness_1.0jph_multi_s1,max_min_fairness,1.0,76.57,78268.16,0.3988,True
fig10_max_min_fairness_perf_1.6jph_multi_s1,max_min_fairness_perf,1.6,79.91,52502.28,0.4806,True
fig10_max_min_fairness_1.0jph_multi_s0,max_min_fairness,1.0,77.82,84907.31,0.4001,True
fig10_max_min_fairness_perf_1.2jph_multi_s2,max_min_fairness_perf,1.2,74.70,54862.85,0.4081,False
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s2,finish_time_fairness_perf,0.6000000000000001,83.27,77092.41,0.1949,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s1,max_min_fairness_perf,1.4000000000000001,78.34,53440.41,0.4207,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s0,max_min_fairness_perf,1.4000000000000001,79.22,51419.37,0.4039,True
fig9_max_min_fairness_1.2000000000000002jph_single_s0,max_min_fairness,1.2000000000000002,83.21,85226.51,0.2519,True
fig9_max_min_fairness_perf_1.6jph_single_s0,max_min_fairness_perf,1.6,83.63,55564.47,0.2431,True
fig10_max_min_fairness_perf_1.6jph_multi_s2,max_min_fairness_perf,1.6,86.74,54248.85,0.5645,True
fig10_max_min_fairness_1.0jph_multi_s2,max_min_fairness,1.0,84.51,92657.32,0.4708,True
fig9_max_min_fairness_1.2000000000000002jph_single_s2,max_min_fairness,1.2000000000000002,85.88,77347.83,0.2614,True
fig10_max_min_fairness_perf_1.8jph_multi_s0,max_min_fairness_perf,1.8,88.82,53843.77,0.5649,True
fig10_max_min_fairness_perf_1.8jph_multi_s1,max_min_fairness_perf,1.8,89.05,51361.96,0.5782,True
fig9_max_min_fairness_perf_1.6jph_single_s2,max_min_fairness_perf,1.6,86.70,56361.41,0.2531,True
fig9_max_min_fairness_1.2000000000000002jph_single_s1,max_min_fairness,1.2000000000000002,86.86,91280.24,0.2645,True
fig9_max_min_fairness_perf_1.6jph_single_s1,max_min_fairness_perf,1.6,87.49,58178.83,0.2604,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s0,finish_time_fairness,0.6000000000000001,90.45,83379.84,0.2263,True
fig10_max_min_fairness_1.2jph_multi_s1,max_min_fairness,1.2,87.27,72674.35,0.4832,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s1,finish_time_fairness,0.6000000000000001,91.69,86886.97,0.2502,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s2,max_min_fairness_perf,1.4000000000000001,85.54,52609.84,0.4770,True
fig10_max_min_fairness_1.2jph_multi_s0,max_min_fairness,1.2,89.63,74782.15,0.4796,True
fig10_max_min_fairness_perf_1.8jph_multi_s2,max_min_fairness_perf,1.8,93.56,51876.90,0.6541,True
fig10_max_min_fairness_perf_1.6jph_multi_s0,max_min_fairness_perf,1.6,87.58,50830.82,0.4649,True
fig10_max_min_fairness_1.2jph_multi_s2,max_min_fairness,1.2,95.66,74310.99,0.5532,True
fig11_finish_time_fairness_perf_0.8jph_multi_s1,finish_time_fairness_perf,0.8,100.09,57097.53,0.2308,True
fig10_max_min_fairness_1.4000000000000001jph_multi_s0,max_min_fairness,1.4000000000000001,99.81,67593.81,0.5501,True
fig10_max_min_fairness_1.4000000000000001jph_multi_s1,max_min_fairness,1.4000000000000001,100.80,70395.94,0.5751,True
fig11_finish_time_fairness_perf_0.8jph_multi_s0,finish_time_fairness_perf,0.8,105.09,68275.81,0.2207,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s2,finish_time_fairness,0.6000000000000001,108.06,96693.43,0.2778,True
fig9_max_min_fairness_1.6jph_single_s0,max_min_fairness,1.6,105.31,69614.29,0.3293,True
fig9_max_min_fairness_0.8jph_single_s1,max_min_fairness,0.8,109.07,80275.00,0.1686,True
fig10_max_min_fairness_1.4000000000000001jph_multi_s2,max_min_fairness,1.4000000000000001,106.22,70807.27,0.6248,True
fig9_max_min_fairness_1.6jph_single_s2,max_min_fairness,1.6,108.25,67084.27,0.3362,True
fig9_max_min_fairness_1.6jph_single_s1,max_min_fairness,1.6,108.43,74074.36,0.3505,True
fig9_max_min_fairness_0.8jph_single_s0,max_min_fairness,0.8,111.37,85635.87,0.1678,True
fig10_max_min_fairness_1.6jph_multi_s0,max_min_fairness,1.6,110.71,67437.57,0.6241,True
fig10_max_min_fairness_1.6jph_multi_s1,max_min_fairness,1.6,111.10,69993.37,0.6431,True
fig11_finish_time_fairness_perf_0.8jph_multi_s2,finish_time_fairness_perf,0.8,118.13,63586.24,0.2755,False
fig10_max_min_fairness_1.6jph_multi_s2,max_min_fairness,1.6,118.45,71930.14,0.7139,True
fig10_max_min_fairness_1.8jph_multi_s1,max_min_fairness,1.8,122.13,67407.75,0.7315,True
fig10_max_min_fairness_1.8jph_multi_s0,max_min_fairness,1.8,123.39,72874.75,0.7177,True
fig11_finish_time_fairness_0.8jph_multi_s1,finish_time_fairness,0.8,128.48,66331.77,0.3228,True
fig10_max_min_fairness_1.8jph_multi_s2,max_min_fairness,1.8,126.47,69677.13,0.7847,True
fig11_finish_time_fairness_perf_1.0jph_multi_s1,finish_time_fairness_perf,1.0,133.71,61319.75,0.2838,True
fig11_finish_time_fairness_perf_1.0jph_multi_s0,finish_time_fairness_perf,1.0,136.31,62878.17,0.2817,True
fig11_finish_time_fairness_0.8jph_multi_s0,finish_time_fairness,0.8,138.01,86252.46,0.3138,True
fig11_finish_time_fairness_0.8jph_multi_s2,finish_time_fairness,0.8,155.38,81925.89,0.3931,True
fig11_finish_time_fairness_perf_1.0jph_multi_s2,finish_time_fairness_perf,1.0,154.64,69085.34,0.3337,True
fig11_finish_time_fairness_perf_1.2jph_multi_s0,finish_time_fairness_perf,1.2,169.26,55839.94,0.3427,True
fig11_finish_time_fairness_perf_1.2jph_multi_s1,finish_time_fairness_perf,1.2,169.01,54171.73,0.3474,True
fig11_finish_time_fairness_1.0jph_multi_s1,finish_time_fairness,1.0,174.55,77731.23,0.3984,True
fig11_finish_time_fairness_1.0jph_multi_s0,finish_time_fairness,1.0,178.60,81646.94,0.4050,True
fig11_finish_time_fairness_perf_1.2jph_multi_s2,finish_time_fairness_perf,1.2,178.32,54818.18,0.4026,False
fig11_finish_time_fairness_perf_1.4000000000000001jph_multi_s0,finish_time_fairness_perf,1.4000000000000001,197.25,51706.44,0.4030,True
fig11_finish_time_fairness_1.0jph_multi_s2,finish_time_fairness,1.0,199.77,87882.78,0.4743,True
fig11_finish_time_fairness_perf_1.4000000000000001jph_multi_s1,finish_time_fairness_perf,1.4000000000000001,200.03,53543.44,0.4175,True
fig11_finish_time_fairness_1.2jph_multi_s1,finish_time_fairness,1.2,215.04,67617.52,0.4825,True
fig11_finish_time_fairness_perf_1.4000000000000001jph_multi_s2,finish_time_fairness_perf,1.4000000000000001,213.01,52786.66,0.4706,True
fig11_finish_time_fairness_1.2jph_multi_s0,finish_time_fairness,1.2,218.45,70799.34,0.4865,True
fig11_finish_time_fairness_perf_1.6jph_multi_s0,finish_time_fairness_perf,1.6,228.80,51281.20,0.4643,True
fig11_finish_time_fairness_perf_1.6jph_multi_s1,finish_time_fairness_perf,1.6,230.92,52861.71,0.4769,True
fig11_finish_time_fairness_1.2jph_multi_s2,finish_time_fairness,1.2,235.02,70486.71,0.5582,True
fig11_finish_time_fairness_1.4000000000000001jph_multi_s0,finish_time_fairness,1.4000000000000001,252.49,64045.30,0.5560,True
fig11_finish_time_fairness_1.4000000000000001jph_multi_s1,finish_time_fairness,1.4000000000000001,257.70,63594.04,0.5761,True
fig11_finish_time_fairness_1.4000000000000001jph_multi_s2,finish_time_fairness,1.4000000000000001,266.81,67164.47,0.6315,True
fig11_finish_time_fairness_perf_1.6jph_multi_s2,finish_time_fairness_perf,1.6,259.02,54754.39,0.5604,True
fig11_finish_time_fairness_perf_1.8jph_multi_s1,finish_time_fairness_perf,1.8,264.98,51887.03,0.5756,True
fig11_finish_time_fairness_1.6jph_multi_s0,finish_time_fairness,1.6,289.01,63001.84,0.6346,True
fig11_finish_time_fairness_1.6jph_multi_s1,finish_time_fairness,1.6,290.96,62543.06,0.6475,True
fig11_finish_time_fairness_perf_1.8jph_multi_s0,finish_time_fairness_perf,1.8,273.39,55994.92,0.5648,True
fig11_finish_time_fairness_perf_1.8jph_multi_s2,finish_time_fairness_perf,1.8,283.06,52209.59,0.6523,True
fig11_finish_time_fairness_1.6jph_multi_s2,finish_time_fairness,1.6,307.90,65547.00,0.7240,True
fig11_finish_time_fairness_1.8jph_multi_s0,finish_time_fairness,1.8,324.77,65605.27,0.7311,True
fig11_finish_time_fairness_1.8jph_multi_s1,finish_time_fairness,1.8,324.26,61277.89,0.7355,True
fig11_finish_time_fairness_1.8jph_multi_s2,finish_time_fairness,1.8,339.29,62252.04,0.7979,True
