proportion,scheduler,unalloc_gpu_pct,std
10,Random,13.06,0.37
10,BestFit,6.76,0.13
10,BestFit-PN,6.16,0.18
10,DotProd,10.76,0.21
10,Packing,5.63,0.12
10,Clustering,5.70,0.15
10,FGD,4.97,0.14
20,Random,13.30,0.37
20,BestFit,11.80,0.46
20,BestFit-PN,6.31,0.17
20,DotProd,12.24,0.43
20,Packing,11.03,0.42
20,Clustering,11.09,0.42
20,FGD,5.13,0.18
25,Random,13.84,0.29
25,BestFit,14.49,0.31
25,BestFit-PN,8.14,0.40
25,DotProd,15.19,0.27
25,Packing,13.69,0.42
25,Clustering,13.86,0.38
25,FGD,5.39,0.16
33,Random,15.59,0.75
33,BestFit,19.40,0.40
33,BestFit-PN,13.82,0.49
33,DotProd,20.56,0.48
33,Packing,17.98,0.43
33,Clustering,18.33,0.48
33,FGD,11.54,0.48
