job_id,arrival_time,duration,gpu_milli,num_gpus
0,0.00,12537496.00,1000,1
1,427061.00,12475899.00,460,1
2,1558381.00,11344579.00,1000,1
3,2690044.00,10212916.00,460,1
4,2758084.00,10144876.00,1000,1
5,3019330.00,8795833.00,1000,1
6,3019932.00,9883028.00,1000,1
7,4130198.00,8772762.00,1000,1
8,4975773.00,7927187.00,1000,1
9,5182092.00,4822053.00,1000,1
10,6394537.00,6508423.00,460,1
11,6588193.00,4371052.00,1000,1
12,6976821.00,3673289.00,1000,1
13,8387257.00,3023633.00,1000,1
14,8396307.00,4506653.00,1000,1
15,9437497.00,1332357.00,1000,8
16,9476974.00,3425986.00,460,1
17,9664050.00,3238910.00,470,1
18,9664123.00,3238837.00,470,1
19,9671707.00,3231253.00,440,1
20,9679175.00,294651.00,220,1
21,9766837.00,3136123.00,1000,1
22,9818766.00,3084194.00,1000,1
23,9823530.00,374115.00,110,1
24,9924220.00,40752.00,1000,1
25,9941376.00,31053.00,320,1
26,9949982.00,28777.00,1000,1
27,9955274.00,72698.00,220,1
28,9957349.00,9984.00,1000,1
29,9961302.00,33055.00,1000,1
30,9963454.00,14699.00,460,1
31,9965619.00,1155.00,1000,1
32,9967058.00,1517.00,1000,1
33,9970479.00,1104.00,1000,1
34,9973579.00,383.00,480,1
35,9973948.00,7300.00,50,1
36,9974338.00,6936.00,230,1
37,9980855.00,21598.00,460,1
38,9993395.00,3673.00,320,1
39,9993396.00,3671.00,320,1
40,9993753.00,67500.00,1000,1
41,9997763.00,3737.00,1000,1
42,9999740.00,115.00,1000,1
43,10000483.00,1852.00,1000,1
44,10000836.00,1727.00,470,1
45,10001854.00,41190.00,1000,1
46,10002519.00,841.00,1000,1
47,10002813.00,1380.00,1000,1
48,10009222.00,134.00,1000,1
49,10011081.00,37.00,1000,1
50,10011398.00,7681.00,1000,1
51,10011759.00,1219.00,1000,1
52,10013436.00,1220.00,1000,1
53,10013797.00,1329.00,1000,1
54,10014736.00,432.00,320,1
55,10014814.00,929.00,460,1
56,10014946.00,791.00,320,1
57,10015701.00,210.00,650,1
58,10015833.00,110.00,550,1
59,10017643.00,2137.00,1000,1
60,10018598.00,216.00,470,1
61,10019718.00,104.00,1000,1
62,10020315.00,576.00,320,1
63,10022793.00,1081.00,1000,1
64,10024695.00,45.00,320,1
65,10027236.00,3614.00,160,1
66,10027236.00,3614.00,110,1
67,10027539.00,105.00,470,1
68,10032059.00,239.00,1000,1
69,10033656.00,1199.00,1000,1
70,10033713.00,599.00,460,1
71,10033926.00,19425.00,320,1
72,10035396.00,957.00,1000,1
73,10036115.00,598.00,1000,1
74,10036552.00,1133.00,220,1
75,10038341.00,545.00,220,1
76,10039366.00,333.00,470,1
77,10039428.00,271.00,470,1
78,10039573.00,4188.00,1000,1
79,10039634.00,105.00,1000,1
80,10039873.00,145.00,470,1
81,10040570.00,19302.00,320,1
82,10040740.00,19190.00,220,1
83,10041157.00,1801.00,1000,1
84,10042650.00,635.00,470,1
85,10043265.00,1515.00,1000,1
86,10046254.00,10499.00,1000,1
87,10046254.00,7799.00,460,1
88,10049677.00,539.00,1000,1
89,10050573.00,957.00,1000,1
90,10051357.00,1382.00,1000,1
91,10052438.00,1379.00,1000,1
92,10052820.00,91.00,1000,1
93,10053065.00,301.00,470,1
94,10054239.00,1018.00,1000,1
95,10056973.00,18402.00,160,1
96,10059143.00,13080.00,650,1
97,10059451.00,17388.00,220,1
98,10060370.00,2175.00,160,1
99,10060714.00,2371.00,460,1
100,10060718.00,3719.00,1000,1
101,10061136.00,145258.00,1000,1
102,10062602.00,6070.00,320,1
103,10071515.00,844.00,1000,1
104,10072977.00,19.00,1000,1
105,10077065.00,7719.00,220,1
106,10081543.00,1016.00,1000,1
107,10082398.00,4189.00,1000,1
108,10084139.00,903.00,1000,1
109,10087711.00,1268.00,470,1
110,10087849.00,211.00,1000,1
111,10088207.00,57.00,1000,1
112,10089802.00,1071.00,1000,1
113,10090200.00,183.00,230,1
114,10090557.00,128.00,470,1
115,10090801.00,1181.00,1000,1
116,10091052.00,1213.00,320,1
117,10091866.00,2643.00,470,1
118,10091963.00,2825.00,220,1
119,10093366.00,358.00,230,1
120,10094677.00,1107.00,1000,1
121,10096044.00,840.00,320,1
122,10096985.00,3669.00,470,1
123,10097319.00,1318.00,1000,1
124,10098174.00,3623.00,1000,1
125,10099853.00,523.00,1000,1
126,10101831.00,5710.00,470,1
127,10103062.00,8364.00,110,1
128,10103067.00,10812.00,320,1
129,10103070.00,10817.00,320,1
130,10103080.00,21306.00,220,1
131,10103554.00,277.00,1000,1
132,10103657.00,339.00,230,1
133,10103830.00,418.00,470,1
134,10104920.00,40524.00,1000,1
