figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig9,ours,baseline,max_min_fairness,0.4,0,False,1000,23.454416349656846,1.211581502278646,5.843743760850694,19.147364366319444,76.79405468750005,210.68943940972218,261.22544314236256,276.9826736111111
fig9,ours,baseline,max_min_fairness,0.4,1,False,1000,21.005726663208005,1.1546013047960069,5.571670464409722,17.08487087673611,63.98443619791668,203.11848090277772,257.2112444270842,267.0395833333333
fig9,ours,baseline,max_min_fairness,0.4,2,False,1000,23.964700808444555,1.2502753906250001,6.3010866970486115,19.177404513888888,75.80332812500004,230.06557013888886,269.1435998090289,281.70652777777775
fig9,ours,baseline,max_min_fairness,0.4,all,False,3000,22.8082812737698,1.2091448838975696,5.896554361979167,18.64678005642361,70.832140625,210.68943940972144,267.041674774306,281.70652777777775
fig9,ours,baseline,max_min_fairness,0.8,0,False,1000,23.63452296000163,1.3237827419704862,5.977365180121527,19.1794580078125,76.0655138888889,211.18077204861103,260.37824642361267,277.70454861111114
fig9,ours,baseline,max_min_fairness,0.8,1,False,1000,21.087509683634437,1.2601629367404514,5.6125496419270835,17.38906711154514,64.02030208333335,205.6336032986111,251.9561289236126,268.5372048611111
fig9,ours,baseline,max_min_fairness,0.8,2,False,1000,24.01431693335639,1.3555667588975695,6.371554633246528,19.342198350694446,76.21210503472223,225.23202482638882,268.96406342013995,280.8454513888889
fig9,ours,baseline,max_min_fairness,0.8,all,False,3000,22.91211652566415,1.3189766574435764,5.895108778211806,18.546497395833335,70.81724522569442,212.22596163194436,268.53761982638895,280.8454513888889
fig9,ours,baseline,max_min_fairness,1.2,0,False,1000,23.733006905856662,1.3273536105685764,6.079893391927083,19.3582275390625,76.57967447916668,211.43059427083327,261.79213500000174,280.90453125
fig9,ours,baseline,max_min_fairness,1.2,1,False,1000,21.068194813571505,1.2929181043836806,5.565846354166666,17.495689832899306,63.081318142361134,205.6038190972222,259.9393699131949,264.94663194444445
fig9,ours,baseline,max_min_fairness,1.2,2,False,1000,24.15741359385173,1.4190642496744792,6.516578233506944,19.678785264756943,76.60124739583334,228.6233831597222,268.92160027777857,277.4577777777778
fig9,ours,baseline,max_min_fairness,1.2,all,False,3000,22.98620510442663,1.3393548448350694,6.078217773437499,18.882730034722222,70.6858216145833,214.66560833333293,264.9505983680564,280.90453125
fig9,ours,baseline,max_min_fairness,1.6,0,False,1000,23.73068129821777,1.3119899359809029,5.936142578125001,19.67129828559028,76.44800347222224,215.16514739583332,264.41615190972414,285.5295659722222
fig9,ours,baseline,max_min_fairness,1.6,1,False,1000,21.18777532318115,1.3112841796875,5.589750434027778,17.63813042534722,64.19307812500001,206.6164388888889,259.94078710069516,267.75131944444445
fig9,ours,baseline,max_min_fairness,1.6,2,False,1000,24.17627512251112,1.414172105577257,6.548104383680555,19.374035915798608,77.16216666666666,231.08155416666665,265.33753770833385,271.2200520833333
fig9,ours,baseline,max_min_fairness,1.6,all,False,3000,23.031577247970016,1.3339735785590279,5.990340169270834,18.951826714409723,71.31601388888889,216.6080723958333,265.33406897569495,285.5295659722222
fig9,ours,baseline,max_min_fairness,2.0,0,False,1000,23.655907972310384,1.3654002143012154,5.952853190104166,19.251264648437502,75.6640043402778,211.09443680555552,261.367055954863,282.3776736111111
fig9,ours,baseline,max_min_fairness,2.0,1,False,1000,21.055699693806964,1.3022930094401042,5.381148003472222,17.320980360243055,64.57551822916668,203.62051805555555,252.16851583333346,253.77302083333333
fig9,ours,baseline,max_min_fairness,2.0,2,False,1000,24.086108732164167,1.4247868109809028,6.371291775173611,19.174468315972224,76.10025086805555,231.82578993055552,262.7928074305559,267.15836805555557
fig9,ours,baseline,max_min_fairness,2.0,all,False,3000,22.932572132760505,1.3652229682074652,5.932780219184028,18.689479166666665,71.56207421874998,213.63340868055533,261.5342762500003,282.3776736111111
fig9,ours,baseline,max_min_fairness,2.4,0,False,1000,23.704282122090657,1.3567931043836805,5.959910210503472,19.099983723958335,75.23082899305558,211.15320121527773,265.0456805381962,285.08116319444446
fig9,ours,baseline,max_min_fairness,2.4,1,False,1000,21.22292141459147,1.3005260281032986,5.566964518229167,17.47302463107639,63.944940972222234,205.03540868055552,252.61935223958352,254.69520833333334
