figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig11,ours,baseline,finish_time_fairness,0.2,0,False,1000,24.694985419684514,1.250641384548611,6.308731553819444,19.700372178819443,79.5380815972223,233.36448472222224,280.66842182292316,352.64666666666665
fig11,ours,baseline,finish_time_fairness,0.2,1,False,1000,22.691036884223088,1.2271774631076389,5.8872021484375,19.39936089409722,68.82045095486112,219.35334340277774,260.17009406250133,274.60734375
fig11,ours,baseline,finish_time_fairness,0.2,2,False,1000,23.31107752963596,1.1794407416449655,6.067438693576388,18.687167426215275,68.16163498263892,223.95627152777777,281.0080125173617,287.2607986111111
fig11,ours,baseline,finish_time_fairness,0.2,all,False,3000,23.56569994451452,1.1964779459635417,6.061488172743056,19.396647135416664,71.80472352430553,223.9562715277777,280.5967769097223,352.64666666666665
fig11,ours,baseline,finish_time_fairness,0.4,0,False,1000,24.66057546464708,1.3011906060112848,6.219592013888889,19.500899522569444,79.04543055555567,232.7811201388889,274.4045247048686,357.50923611111114
fig11,ours,baseline,finish_time_fairness,0.4,1,False,1000,22.672561585218638,1.3206934814453126,5.691996256510416,19.093277994791666,66.07521918402786,219.43287135416665,259.3068529687509,268.82390625
fig11,ours,baseline,finish_time_fairness,0.4,2,False,1000,23.257444057685003,1.2825771620008681,6.096272243923611,18.764359809027777,68.31684071180555,226.98148333333333,279.0421601736117,285.4667361111111
fig11,ours,baseline,finish_time_fairness,0.4,all,False,3000,23.530193702516907,1.298904527452257,5.9969140625,19.185951063368055,72.06201258680554,225.0041093749999,274.32605119791765,357.50923611111114
fig11,ours,baseline,finish_time_fairness,0.6,0,False,1000,24.659757250366212,1.326916517469618,6.279253472222223,19.389660915798608,79.54364583333343,232.42591302083335,273.53979930556324,358.98274305555555
fig11,ours,baseline,finish_time_fairness,0.6,1,False,1000,22.701595960184733,1.3409391276041667,5.865788302951389,18.97567437065972,68.86467838541667,219.29719687499997,260.8875322395836,263.85083333333336
fig11,ours,baseline,finish_time_fairness,0.6,2,False,1000,23.298474640197753,1.3674967990451388,6.074136284722222,19.116446397569444,69.31865407986112,227.9522425347222,274.54268175347266,279.4590972222222
fig11,ours,baseline,finish_time_fairness,0.6,all,False,3000,23.553275950249567,1.3398147515190972,6.069568142361111,19.254924587673614,71.43472092013889,223.68993072916652,273.4553543229169,358.98274305555555
fig11,ours,baseline,finish_time_fairness,0.8,0,False,1000,24.173216487155493,1.2720572645399306,6.063817545572917,19.207655164930557,77.30278732638891,218.7212651041666,262.80419947918455,461.11072916666666
fig11,ours,baseline,finish_time_fairness,0.8,1,False,1000,22.433069194335935,1.272627427842882,5.84439697265625,18.77020290798611,67.23691145833337,215.79524513888887,263.4087493402782,267.83074652777776
fig11,ours,baseline,finish_time_fairness,0.8,2,False,1000,22.7137968915134,1.2555033230251735,5.979343804253473,18.014823133680558,67.34437369791667,224.12395034722218,281.431794670139,283.1379513888889
fig11,ours,baseline,finish_time_fairness,0.8,all,False,3000,23.10669419100161,1.262472886827257,5.960329861111111,18.76969997829861,70.97679036458332,218.68527986111076,270.1414041493079,461.11072916666666
fig11,ours,baseline,finish_time_fairness,1.0,0,False,1000,23.790354732259114,1.2624497748480903,6.0789171006944445,18.620455729166668,75.67480815972223,211.19392916666666,270.7281151562747,544.7321875
fig11,ours,baseline,finish_time_fairness,1.0,1,False,1000,22.15384842319065,1.238189005533854,5.721611599392361,18.53135959201389,64.51567795138892,211.50002291666664,261.40232586805894,298.41336805555557
fig11,ours,baseline,finish_time_fairness,1.0,2,False,1000,22.26118344862196,1.2243671196831596,5.744818793402778,17.708742675781252,64.01273524305562,214.87571145833329,293.60731270833384,299.49052083333333
fig11,ours,baseline,finish_time_fairness,1.0,all,False,3000,22.73512886802391,1.241442626953125,5.862660319010416,18.276139865451388,68.6724053819444,211.79924062499927,293.6062355555565,544.7321875
fig11,ours,baseline,finish_time_fairness,1.2,0,False,1000,23.289694076741537,1.2268822157118056,5.780450846354167,18.141424967447918,74.17537239583334,198.7856407986111,282.8903929861378,578.7857986111111
fig11,ours,baseline,finish_time_fairness,1.2,1,False,1000,21.55431829433865,1.2226041666666667,5.587210828993055,18.166405436197916,63.385655815972235,202.03170920138888,247.30064557292533,343.3882291666667
fig11,ours,baseline,finish_time_fairness,1.2,2,False,1000,21.657441268005368,1.2236285942925347,5.679224717881944,17.140790744357638,63.9567074652778,200.42552951388882,303.2415642361134,328.94673611111114
fig11,ours,baseline,finish_time_fairness,1.2,all,False,3000,22.167151213028518,1.2237470024956598,5.684094780815972,17.89856716579861,66.92550434027777,200.80192100694416,303.24156423611635,578.7857986111111
fig11,ours,baseline,finish_time_fairness,1.4,0,False,1000,22.97283494649251,1.2415498725043403,5.549588487413194,17.928173014322915,71.63211284722225,190.93171024305553,315.45833548613626,594.5561111111111
fig11,ours,baseline,finish_time_fairness,1.4,1,False,1000,21.07571482235379,1.212447265625,5.470142957899306,17.60053249782986,60.5878111979167,200.06957065972222,233.8957489930674,365.38118055555555
fig11,ours,baseline,finish_time_fairness,1.4,2,False,1000,21.220502087470162,1.1498301730685763,5.548595377604167,16.836104329427084,61.264173611111126,197.74012499999995,329.4976135069463,350.4581944444444
fig11,ours,baseline,finish_time_fairness,1.4,all,False,3000,21.756350618772153,1.197866400824653,5.533188205295139,17.51165066189236,65.03134114583328,197.72455607638832,329.4976135069487,594.5561111111111
fig11,ours,baseline,finish_time_fairness,1.6,0,False,1000,22.6785749077691,1.1800759955512155,5.562528754340278,18.060443522135415,69.40022178819446,188.61709062499992,331.0767453125258,617.223125
fig11,ours,baseline,finish_time_fairness,1.6,1,False,1000,20.77448325080024,1.1604178602430555,5.350656195746527,17.293376736111114,58.798638020833344,194.82941892361112,232.83340475695744,376.85788194444444
