proportion,scheduler,unalloc_gpu_pct,std
20,Random,12.14,0.35
20,BestFit,5.45,0.15
20,DotProd,8.82,0.45
20,Packing,5.04,0.16
20,Clustering,5.09,0.18
20,FGD,3.95,0.12
30,Random,12.26,0.42
30,BestFit,4.83,0.21
30,DotProd,7.40,0.29
30,Packing,4.50,0.16
30,Clustering,4.50,0.11
30,FGD,3.52,0.14
40,Random,15.28,0.83
40,BestFit,4.27,0.15
40,DotProd,6.40,0.25
40,Packing,3.99,0.14
40,Clustering,4.03,0.21
40,FGD,3.11,0.15
50,Random,19.62,0.50
50,BestFit,3.67,0.18
50,DotProd,5.37,0.23
50,Packing,3.50,0.19
50,Clustering,3.51,0.15
50,FGD,2.66,0.10
