name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig10_max_min_fairness_1.6jph_multi_s1,max_min_fairness,1.6,87.01,inf,64.31,True
fig10_max_min_fairness_1.6jph_multi_s2,max_min_fairness,1.6,114.87,inf,71.39,True
fig10_max_min_fairness_1.8jph_multi_s0,max_min_fairness,1.8,121.69,inf,71.77,True
fig10_max_min_fairness_1.8jph_multi_s1,max_min_fairness,1.8,95.54,inf,73.15,True
fig10_max_min_fairness_1.8jph_multi_s2,max_min_fairness,1.8,241.89,inf,78.47,True
fig10_max_min_fairness_2.2jph_multi_s0,max_min_fairness,2.2,113.37,54329.56,86.99,True
fig10_max_min_fairness_2.2jph_multi_s1,max_min_fairness,2.2,113.76,57080.32,90.24,True
fig10_max_min_fairness_2.2jph_multi_s2,max_min_fairness,2.2,118.5,48330.77,92.66,True
fig10_max_min_fairness_2.4000000000000004jph_multi_s0,max_min_fairness,2.4000000000000004,300.45,68115.11,94.28,True
fig10_max_min_fairness_2.4000000000000004jph_multi_s1,max_min_fairness,2.4000000000000004,125.0,75499.59,95.25,True
fig10_max_min_fairness_2.4000000000000004jph_multi_s2,max_min_fairness,2.4000000000000004,292.88,75401.86,96.15,True
fig10_max_min_fairness_2.6000000000000005jph_multi_s0,max_min_fairness,2.6000000000000005,137.34,90905.16,96.38,True
fig10_max_min_fairness_2.6000000000000005jph_multi_s1,max_min_fairness,2.6000000000000005,139.76,96727.44,96.33,True
fig10_max_min_fairness_2.6000000000000005jph_multi_s2,max_min_fairness,2.6000000000000005,151.05,78068.64,96.82,True
fig10_max_min_fairness_2.8000000000000003jph_multi_s0,max_min_fairness,2.8000000000000003,154.97,92809.5,96.9,True
fig10_max_min_fairness_2.8000000000000003jph_multi_s1,max_min_fairness,2.8000000000000003,159.77,91104.79,97.3,True
fig10_max_min_fairness_2.8000000000000003jph_multi_s2,max_min_fairness,2.8000000000000003,169.08,89130.22,97.27,True
fig10_max_min_fairness_3.0000000000000004jph_multi_s0,max_min_fairness,3.0000000000000004,174.7,99668.11,97.44,True
fig10_max_min_fairness_3.0000000000000004jph_multi_s1,max_min_fairness,3.0000000000000004,179.83,99356.7,98.13,True
fig10_max_min_fairness_3.0000000000000004jph_multi_s2,max_min_fairness,3.0000000000000004,187.26,94635.17,97.63,True
fig10_max_min_fairness_perf_0.2jph_multi_s0,max_min_fairness_perf,0.2,14.61,inf,5.39,True
fig10_max_min_fairness_perf_0.2jph_multi_s1,max_min_fairness_perf,0.2,14.51,inf,6.11,True
fig10_max_min_fairness_perf_0.2jph_multi_s2,max_min_fairness_perf,0.2,15.83,inf,5.85,True
fig10_max_min_fairness_perf_0.4jph_multi_s0,max_min_fairness_perf,0.4,23.83,inf,11.29,True
fig10_max_min_fairness_perf_0.4jph_multi_s1,max_min_fairness_perf,0.4,22.74,inf,10.7,True
fig10_max_min_fairness_perf_0.4jph_multi_s2,max_min_fairness_perf,0.4,25.81,inf,12.84,True
fig10_max_min_fairness_perf_0.6000000000000001jph_multi_s0,max_min_fairness_perf,0.6000000000000001,31.53,inf,15.94,True
fig10_max_min_fairness_perf_0.6000000000000001jph_multi_s1,max_min_fairness_perf,0.6000000000000001,31.86,inf,17.8,True
fig10_max_min_fairness_perf_0.6000000000000001jph_multi_s2,max_min_fairness_perf,0.6000000000000001,35.29,inf,19.53,True
fig10_max_min_fairness_perf_0.8jph_multi_s0,max_min_fairness_perf,0.8,40.15,inf,22.09,True
fig10_max_min_fairness_perf_0.8jph_multi_s1,max_min_fairness_perf,0.8,39.21,inf,23.27,True
fig10_max_min_fairness_perf_0.8jph_multi_s2,max_min_fairness_perf,0.8,44.35,inf,27.43,True
fig10_max_min_fairness_perf_1.0jph_multi_s0,max_min_fairness_perf,1.0,48.26,inf,28.39,True
fig10_max_min_fairness_perf_1.0jph_multi_s1,max_min_fairness_perf,1.0,47.81,inf,28.59,True
fig10_max_min_fairness_perf_1.0jph_multi_s2,max_min_fairness_perf,1.0,51.47,inf,33.66,True
fig10_max_min_fairness_perf_1.2jph_multi_s0,max_min_fairness_perf,1.2,54.51,inf,34.42,True
fig10_max_min_fairness_perf_1.2jph_multi_s1,max_min_fairness_perf,1.2,53.41,inf,34.95,True
fig10_max_min_fairness_perf_1.2jph_multi_s2,max_min_fairness_perf,1.2,56.69,inf,40.25,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s0,max_min_fairness_perf,1.4,59.54,inf,40.38,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s1,max_min_fairness_perf,1.4,60.87,inf,42.05,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s2,max_min_fairness_perf,1.4,64.51,inf,47.56,True
fig10_max_min_fairness_perf_1.6jph_multi_s0,max_min_fairness_perf,1.6,160.31,inf,46.45,True
fig10_max_min_fairness_perf_1.6jph_multi_s1,max_min_fairness_perf,1.6,66.46,inf,48.05,True
fig10_max_min_fairness_perf_1.6jph_multi_s2,max_min_fairness_perf,1.6,177.01,inf,56.4,True
fig10_max_min_fairness_perf_1.8jph_multi_s0,max_min_fairness_perf,1.8,74.28,inf,56.42,True
fig10_max_min_fairness_perf_1.8jph_multi_s1,max_min_fairness_perf,1.8,76.05,inf,57.79,True
fig10_max_min_fairness_perf_1.8jph_multi_s2,max_min_fairness_perf,1.8,78.2,inf,65.39,True
fig10_max_min_fairness_perf_2.2jph_multi_s0,max_min_fairness_perf,2.2,92.31,45639.18,78.0,True
fig10_max_min_fairness_perf_2.2jph_multi_s1,max_min_fairness_perf,2.2,232.41,51678.78,83.2,True
fig10_max_min_fairness_perf_2.2jph_multi_s2,max_min_fairness_perf,2.2,100.98,40088.61,87.58,True
fig10_max_min_fairness_perf_2.4000000000000004jph_multi_s0,max_min_fairness_perf,2.4000000000000004,105.78,56606.25,91.02,True
fig10_max_min_fairness_perf_2.4000000000000004jph_multi_s1,max_min_fairness_perf,2.4000000000000004,104.9,61369.55,92.45,True
fig10_max_min_fairness_perf_2.4000000000000004jph_multi_s2,max_min_fairness_perf,2.4000000000000004,138.38,53074.44,95.24,True
fig10_max_min_fairness_perf_2.6000000000000005jph_multi_s0,max_min_fairness_perf,2.6000000000000005,115.12,77473.82,95.33,True
fig10_max_min_fairness_perf_2.6000000000000005jph_multi_s1,max_min_fairness_perf,2.6000000000000005,116.75,77230.73,94.57,True
fig10_max_min_fairness_perf_2.6000000000000005jph_multi_s2,max_min_fairness_perf,2.6000000000000005,291.28,72523.48,96.34,True
fig10_max_min_fairness_perf_2.8000000000000003jph_multi_s0,max_min_fairness_perf,2.8000000000000003,126.87,91400.92,96.4,True
fig10_max_min_fairness_perf_2.8000000000000003jph_multi_s1,max_min_fairness_perf,2.8000000000000003,124.53,97202.47,96.58,True
fig10_max_min_fairness_perf_2.8000000000000003jph_multi_s2,max_min_fairness_perf,2.8000000000000003,130.15,88965.95,97.14,True
fig10_max_min_fairness_perf_3.0000000000000004jph_multi_s0,max_min_fairness_perf,3.0000000000000004,139.08,104972.86,97.11,True
fig10_max_min_fairness_perf_3.0000000000000004jph_multi_s1,max_min_fairness_perf,3.0000000000000004,136.28,110781.83,97.97,True
fig10_max_min_fairness_perf_3.0000000000000004jph_multi_s2,max_min_fairness_perf,3.0000000000000004,196.08,105835.68,97.61,True
fig11_finish_time_fairness_0.2jph_multi_s0,finish_time_fairness,0.2,28.67,inf,7.17,True
fig11_finish_time_fairness_0.2jph_multi_s1,finish_time_fairness,0.2,23.11,inf,8.71,True
fig11_finish_time_fairness_0.2jph_multi_s2,finish_time_fairness,0.2,25.54,inf,8.35,True
fig11_finish_time_fairness_0.4jph_multi_s0,finish_time_fairness,0.4,46.77,inf,16.4,True
fig11_finish_time_fairness_0.4jph_multi_s1,finish_time_fairness,0.4,43.51,inf,15.07,True
fig11_finish_time_fairness_0.4jph_multi_s2,finish_time_fairness,0.4,128.85,inf,18.15,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s0,finish_time_fairness,0.6000000000000001,73.02,inf,22.56,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s1,finish_time_fairness,0.6000000000000001,74.29,inf,25.08,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s2,finish_time_fairness,0.6000000000000001,87.23,inf,27.75,True
fig11_finish_time_fairness_0.8jph_multi_s0,finish_time_fairness,0.8,109.8,inf,31.18,True
fig11_finish_time_fairness_0.8jph_multi_s1,finish_time_fairness,0.8,103.34,inf,32.29,True
fig11_finish_time_fairness_0.8jph_multi_s2,finish_time_fairness,0.8,125.23,inf,39.12,True
fig11_finish_time_fairness_1.0jph_multi_s0,finish_time_fairness,1.0,334.39,inf,39.99,True
fig11_finish_time_fairness_1.0jph_multi_s1,finish_time_fairness,1.0,327.13,inf,39.88,True
fig11_finish_time_fairness_1.0jph_multi_s2,finish_time_fairness,1.0,160.4,inf,47.1,True
fig11_finish_time_fairness_1.2jph_multi_s0,finish_time_fairness,1.2,176.83,inf,47.97,True
fig11_finish_time_fairness_1.2jph_multi_s1,finish_time_fairness,1.2,173.07,inf,48.31,True
fig11_finish_time_fairness_1.2jph_multi_s2,finish_time_fairness,1.2,189.79,inf,55.33,True
fig11_finish_time_fairness_1.4000000000000001jph_multi_s0,finish_time_fairness,1.4,207.48,inf,54.99,True
fig11_finish_time_fairness_1.4000000000000001jph_multi_s1,finish_time_fairness,1.4,273.86,inf,57.5,True
fig11_finish_time_fairness_1.4000000000000001jph_multi_s2,finish_time_fairness,1.4,223.13,inf,62.53,True
fig11_finish_time_fairness_1.6jph_multi_s0,finish_time_fairness,1.6,381.0,inf,63.46,True
fig11_finish_time_fairness_1.6jph_multi_s1,finish_time_fairness,1.6,498.63,inf,64.75,True
fig11_finish_time_fairness_1.6jph_multi_s2,finish_time_fairness,1.6,257.5,inf,71.38,True
fig11_finish_time_fairness_1.8jph_multi_s0,finish_time_fairness,1.8,355.47,inf,71.84,True
fig11_finish_time_fairness_1.8jph_multi_s1,finish_time_fairness,1.8,273.95,inf,73.17,True
fig11_finish_time_fairness_1.8jph_multi_s2,finish_time_fairness,1.8,573.26,inf,79.79,True
fig11_finish_time_fairness_2.2jph_multi_s0,finish_time_fairness,2.2,346.82,54279.06,86.94,True
fig11_finish_time_fairness_2.2jph_multi_s1,finish_time_fairness,2.2,793.9,56806.71,90.32,True
fig11_finish_time_fairness_2.2jph_multi_s2,finish_time_fairness,2.2,860.94,47047.67,92.56,True
fig11_finish_time_fairness_2.4000000000000004jph_multi_s0,finish_time_fairness,2.4000000000000004,407.19,69268.98,94.38,True
fig11_finish_time_fairness_2.4000000000000004jph_multi_s1,finish_time_fairness,2.4000000000000004,926.06,78572.25,95.54,True
fig11_finish_time_fairness_2.4000000000000004jph_multi_s2,finish_time_fairness,2.4000000000000004,938.12,55058.69,96.77,True
fig11_finish_time_fairness_2.6000000000000005jph_multi_s0,finish_time_fairness,2.6000000000000005,1099.04,100179.6,96.88,True
fig11_finish_time_fairness_2.6000000000000005jph_multi_s1,finish_time_fairness,2.6000000000000005,1137.61,101650.52,96.88,True
fig11_finish_time_fairness_2.6000000000000005jph_multi_s2,finish_time_fairness,2.6000000000000005,1120.32,81399.07,97.5,True
fig11_finish_time_fairness_2.8000000000000003jph_multi_s0,finish_time_fairness,2.8000000000000003,1439.12,128293.87,97.47,True
fig11_finish_time_fairness_2.8000000000000003jph_multi_s1,finish_time_fairness,2.8000000000000003,1177.39,105083.75,97.96,True
fig11_finish_time_fairness_2.8000000000000003jph_multi_s2,finish_time_fairness,2.8000000000000003,1311.55,98479.08,97.98,True
fig11_finish_time_fairness_3.0000000000000004jph_multi_s0,finish_time_fairness,3.0000000000000004,1405.64,122194.51,98.16,True
fig11_finish_time_fairness_3.0000000000000004jph_multi_s1,finish_time_fairness,3.0000000000000004,1387.38,124291.56,98.68,True
fig11_finish_time_fairness_3.0000000000000004jph_multi_s2,finish_time_fairness,3.0000000000000004,1536.01,122447.0,98.34,True
fig11_finish_time_fairness_3.2jph_multi_s0,finish_time_fairness,3.2,2033.9,201041.86,98.35,True
fig11_finish_time_fairness_3.2jph_multi_s1,finish_time_fairness,3.2,2325.23,214496.39,99.04,True
fig11_finish_time_fairness_3.2jph_multi_s2,finish_time_fairness,3.2,2601.0,221671.56,98.6,True
fig11_finish_time_fairness_3.4000000000000004jph_multi_s0,finish_time_fairness,3.4000000000000004,1996.41,171703.24,98.67,True
fig11_finish_time_fairness_3.4000000000000004jph_multi_s1,finish_time_fairness,3.4000000000000004,1910.83,189229.19,99.19,True
fig11_finish_time_fairness_3.4000000000000004jph_multi_s2,finish_time_fairness,3.4000000000000004,2030.1,197740.11,98.82,True
fig11_finish_time_fairness_perf_0.2jph_multi_s0,finish_time_fairness_perf,0.2,44.36,inf,5.39,True
fig11_finish_time_fairness_perf_0.2jph_multi_s1,finish_time_fairness_perf,0.2,18.74,inf,6.1,True
fig11_finish_time_fairness_perf_0.2jph_multi_s2,finish_time_fairness_perf,0.2,20.91,inf,5.85,True
fig11_finish_time_fairness_perf_0.4jph_multi_s0,finish_time_fairness_perf,0.4,36.97,inf,11.27,True
fig11_finish_time_fairness_perf_0.4jph_multi_s1,finish_time_fairness_perf,0.4,89.94,inf,10.69,True
fig11_finish_time_fairness_perf_0.4jph_multi_s2,finish_time_fairness_perf,0.4,41.24,inf,12.8,True
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s0,finish_time_fairness_perf,0.6000000000000001,57.67,inf,15.92,True
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s1,finish_time_fairness_perf,0.6000000000000001,58.19,inf,17.7,True
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s2,finish_time_fairness_perf,0.6000000000000001,66.34,inf,19.48,True
fig11_finish_time_fairness_perf_0.8jph_multi_s0,finish_time_fairness_perf,0.8,160.77,inf,22.07,True
fig11_finish_time_fairness_perf_0.8jph_multi_s1,finish_time_fairness_perf,0.8,80.01,inf,23.08,True
fig11_finish_time_fairness_perf_0.8jph_multi_s2,finish_time_fairness_perf,0.8,95.04,inf,27.29,True
fig11_finish_time_fairness_perf_1.0jph_multi_s0,finish_time_fairness_perf,1.0,107.18,inf,28.16,True
fig11_finish_time_fairness_perf_1.0jph_multi_s1,finish_time_fairness_perf,1.0,104.52,inf,28.38,True
fig11_finish_time_fairness_perf_1.0jph_multi_s2,finish_time_fairness_perf,1.0,118.52,inf,33.34,True
fig11_finish_time_fairness_perf_1.2jph_multi_s0,finish_time_fairness_perf,1.2,130.97,inf,34.26,True
fig11_finish_time_fairness_perf_1.2jph_multi_s1,finish_time_fairness_perf,1.2,128.28,inf,34.73,True
fig11_finish_time_fairness_perf_1.2jph_multi_s2,finish_time_fairness_perf,1.2,295.94,inf,39.76,True
fig11_finish_time_fairness_perf_1.4000000000000001jph_multi_s0,finish_time_fairness_perf,1.4,316.53,inf,40.28,True
