scheduler,arrived_workload_pct,frag_rate,frag_total_pct,run
Random,0.0,13.872568349048816,13.872568349048816,0
Random,2.0,19.480454422448783,19.090152941804323,0
Random,4.0,20.785771606289863,19.95374971245651,0
Random,6.0,21.63509332328417,20.335526672623118,0
Random,8.0,22.56960350037882,20.763353359215614,0
Random,10.0,23.40702772499491,21.064536251247617,0
Random,12.0,24.550740690487565,21.604433656387858,0
Random,14.0,25.624303036522463,22.033986171398105,0
Random,16.0,26.59711121600174,22.339588209657144,0
Random,18.0,27.248794353337075,22.341735390822983,0
Random,20.0,27.95703551374468,22.363044856976405,0
Random,22.0,28.711095836521338,22.39174639552436,0
Random,24.0,29.48958016540252,22.4088316739372,0
Random,26.0,30.39516678797392,22.48880430780871,0
Random,28.0,31.467581443886335,22.652632220788888,0
Random,30.0,32.40530019021136,22.679275784268146,0
Random,32.0,33.199315554001075,22.574590576278418,0
Random,34.0,33.75432992970905,22.274138598719638,0
Random,36.0,34.35196340206969,21.984768189716217,0
Random,38.0,35.07506599144675,21.74317490516515,0
Random,40.0,35.78958905441098,21.46739310048832,0
Random,42.0,36.55155404449572,21.196913303358492,0
Random,44.0,37.65884137985486,21.082794049194707,0
Random,46.0,38.760071704560964,20.92782119296196,0
Random,48.0,39.909789137993144,20.747132608220603,0
Random,50.0,41.25568952276998,20.625645239995784,0
Random,52.0,42.779764423730825,20.528508956274706,0
Random,54.0,44.51143282273243,20.47351882562571,0
Random,56.0,46.417433412464504,20.418061343972262,0
Random,58.0,48.38836169150405,20.321908005928947,0
Random,60.0,50.64521868037642,20.252687235575447,0
Random,62.0,53.31170842111369,20.257880743917827,0
Random,64.0,56.069694869666584,20.17990866359502,0
Random,66.0,59.28847389095713,20.147755424611443,0
Random,68.0,62.50536822917595,19.996830262335695,0
Random,70.0,66.44924837580959,19.92414641188312,0
Random,72.0,70.90387396014549,19.848548473790935,0
Random,74.0,75.94908223040004,19.735693626673434,0
Random,76.0,82.1790968088321,19.71889399525245,0
Random,78.0,88.15965593243182,19.634206649106805,0
Random,80.0,88.15965593243182,19.634206649106805,0
Random,82.0,88.15965593243182,19.634206649106805,0
Random,84.0,88.15965593243182,19.634206649106805,0
Random,86.0,88.15965593243182,19.634206649106805,0
Random,88.0,88.15965593243182,19.634206649106805,0
Random,90.0,88.15965593243182,19.634206649106805,0
Random,92.0,88.15965593243182,19.634206649106805,0
Random,94.0,88.15965593243182,19.634206649106805,0
Random,96.0,88.15965593243182,19.634206649106805,0
Random,98.0,88.15965593243182,19.634206649106805,0
Random,100.0,88.15965593243182,19.634206649106805,0
Random,102.0,88.42579094541699,19.59919077077031,0
Random,104.0,88.42579094541699,19.59919077077031,0
Random,106.0,88.42579094541699,19.59919077077031,0
Random,108.0,88.42579094541699,19.59919077077031,0
Clustering,0.0,13.872568349048816,13.872568349048816,0
Clustering,2.0,21.950620145544264,21.51082755353994,0
Clustering,4.0,22.295863356744288,21.403394854438844,0
Clustering,6.0,22.603052472858575,21.245342905446808,0
Clustering,8.0,23.98229944609191,22.062990949635815,0
Clustering,10.0,25.42500380318439,22.8805605133875,0
Clustering,12.0,26.866974591933545,23.642698908232344,0
Clustering,14.0,28.25440857977878,24.295577797395794,0
Clustering,16.0,29.473448548575952,24.755496878832897,0
Clustering,18.0,30.35343388369394,24.887280488036616,0
Clustering,20.0,31.277527604475182,25.019131677616947,0
Clustering,22.0,32.24973677183039,25.151527870234474,0
Clustering,24.0,33.272467949806014,25.283409579984887,0
Clustering,26.0,34.35025017685175,25.41509508864191,0
Clustering,28.0,35.48902755915657,25.54755886163605,0
Clustering,30.0,36.692041169607634,25.679407871204234,0
Clustering,32.0,37.08143321299699,25.214320198963634,0
Clustering,34.0,37.801741165142474,24.944984058007165,0
Clustering,36.0,38.56041236036592,24.678115690803104,0
Clustering,38.0,39.375093895702,24.408779549846635,0
Clustering,40.0,40.244325687907576,24.139443408890155,0
Clustering,42.0,41.16541424355492,23.872575041686094,0
Clustering,44.0,42.1611254225709,23.60333700127636,0
Clustering,46.0,43.22108781644587,23.33646863407234,0
Clustering,48.0,44.37254564981492,23.06709979293367,0
Clustering,50.0,45.605325690523784,22.800231425729635,0
Clustering,52.0,46.956324710509435,22.532693794795932,0
Clustering,54.0,48.40808271426489,22.265825427591906,0
Clustering,56.0,50.001517853971365,21.994625376248255,0
Clustering,58.0,51.735819520096896,21.72775700904422,0
