scheduler,arrived_pct,unalloc_gpu_pct,run
Random,2.0,97.99644570819311,0
Random,4.0,95.99715656655451,0
Random,6.0,93.99324684556628,0
Random,8.0,91.99697885196395,0
Random,10.0,89.99235827261445,0
Random,12.0,87.99911142704838,0
Random,14.0,85.98862626621666,0
Random,16.0,83.9925359872048,0
Random,18.0,81.99164741425288,0
Random,20.0,79.99075884130107,0
Random,22.0,77.98987026834907,0
Random,24.0,75.98898169539719,0
Random,26.0,73.98809312244529,0
Random,28.0,71.98720454949343,0
Random,30.0,69.98631597654156,0
Random,32.0,67.99715656655398,0
Random,34.0,65.98898169539707,0
Random,36.0,63.99857828327694,0
Random,38.0,61.99040341212001,0
Random,40.0,59.98222854096312,0
Random,42.0,57.99182512884299,0
Random,44.0,55.983650257686065,0
Random,46.0,53.99324684556595,0
Random,48.0,51.985071974409,0
Random,50.0,49.99466856228887,0
Random,52.0,47.98649369113195,0
Random,54.0,45.996090279011824,0
Random,56.0,43.9879154078549,0
Random,58.0,41.99751199573478,0
Random,60.0,39.989337124577936,0
Random,62.0,37.998933712457905,0
Random,64.0,35.99075884130099,0
Random,66.0,33.98258397014406,0
Random,68.0,31.992180558023932,0
Random,70.0,29.984005686867,0
Random,72.0,27.993602274746866,0
Random,74.0,25.98542740358995,0
Random,76.0,23.995023991469793,0
Random,78.0,22.271192464901453,0
Random,80.0,22.271192464901453,0
Random,82.0,22.271192464901453,0
Random,84.0,22.271192464901453,0
Random,86.0,22.271192464901453,0
Random,88.0,22.271192464901453,0
Random,90.0,22.271192464901453,0
Random,92.0,22.271192464901453,0
Random,94.0,22.271192464901453,0
Random,96.0,22.271192464901453,0
Random,98.0,22.271192464901453,0
Random,100.0,22.271192464901453,0
Random,102.0,22.16456371068074,0
Random,104.0,22.16456371068074,0
Random,106.0,22.16456371068074,0
Random,108.0,22.16456371068074,0
Clustering,2.0,97.99644570819292,0
Clustering,4.0,95.9971565665544,0
Clustering,6.0,93.99324684556618,0
Clustering,8.0,91.99697885196383,0
Clustering,10.0,89.99235827261428,0
Clustering,12.0,87.99911142704823,0
Clustering,14.0,85.98862626621654,0
Clustering,16.0,83.99253598720462,0
Clustering,18.0,81.99164741425261,0
Clustering,20.0,79.99075884130053,0
Clustering,22.0,77.98987026834871,0
Clustering,24.0,75.98898169539687,0
Clustering,26.0,73.98809312244504,0
Clustering,28.0,71.9872045494932,0
Clustering,30.0,69.98631597654135,0
Clustering,32.0,67.99715656655378,0
Clustering,34.0,65.98898169539686,0
Clustering,36.0,63.99857828327673,0
Clustering,38.0,61.99040341211981,0
Clustering,40.0,59.98222854096289,0
Clustering,42.0,57.991825128842756,0
Clustering,44.0,55.983650257685824,0
Clustering,46.0,53.99324684556569,0
Clustering,48.0,51.98507197440877,0
Clustering,50.0,49.99466856228864,0
Clustering,52.0,47.98649369113171,0
Clustering,54.0,45.99609027901164,0
Clustering,56.0,43.987915407854636,0
Clustering,58.0,41.99751199573445,0
Clustering,60.0,39.98933712457765,0
Clustering,62.0,37.998933712457514,0
Clustering,64.0,35.99075884130059,0
Clustering,66.0,33.98258397014367,0
