scheduler,arrived_pct,unalloc_gpu_pct,run
Random,2.0,97.98542740358982,0
Random,4.0,95.99626799360225,0
Random,6.0,93.9854274035898,0
Random,8.0,91.98382797227647,0
Random,10.0,89.99431313310818,0
Random,12.0,87.99111427048157,0
Random,14.0,85.99751199573478,0
Random,16.0,83.99324684556598,0
Random,18.0,81.99289141638525,0
Random,20.0,79.99982228540965,0
Random,22.0,77.99377998933717,0
Random,24.0,75.98969255375874,0
Random,26.0,73.98293939932475,0
Random,28.0,71.99733428114457,0
Random,30.0,69.9889816953973,0
Random,32.0,67.98258397014406,0
Random,34.0,65.9900479829395,0
Random,36.0,63.99857828327716,0
Random,38.0,61.99822285409642,0
Random,40.0,59.985782832770674,0
Random,42.0,57.93673360582917,0
Random,44.0,55.997689710325346,0
Random,46.0,53.996445708192795,0
Random,48.0,51.98258397014409,0
Random,50.0,49.99733428114461,0
Random,52.0,47.988093122445505,0
Random,54.0,45.99520170606021,0
Random,56.0,43.9944908476987,0
Random,58.0,41.968899946685745,0
Random,60.0,40.134707659499,0
Random,62.0,38.22303181091179,0
Random,64.0,36.41140927670175,0
Random,66.0,34.56335525146626,0
Random,68.0,32.70837035720645,0
Random,70.0,30.84681002310302,0
Random,72.0,28.835614003909843,0
Random,74.0,26.9900479829395,0
Random,76.0,25.130264794739738,0
Random,78.0,23.135418517860405,0
Random,80.0,21.128309934245674,0
Random,82.0,19.131331082281918,0
Random,84.0,17.265683312599993,0
Random,86.0,16.003909720988126,0
Random,88.0,15.230851252887891,0
Random,90.0,14.422072152123725,0
Random,92.0,13.568508974586841,0
Random,94.0,13.361116047627537,0
Random,96.0,13.275457615070223,0
Random,98.0,13.250399857828357,0
Random,100.0,13.239026124044814,0
Random,102.0,13.212902079260733,0
Random,104.0,13.178247734139003,0
Random,106.0,13.051004087435611,0
Random,108.0,12.90883241514131,0
Clustering,2.0,97.98542740358982,0
Clustering,4.0,95.99626799360227,0
Clustering,6.0,93.98542740358984,0
Clustering,8.0,91.98382797227644,0
Clustering,10.0,89.9943131331081,0
Clustering,12.0,87.99111427048149,0
Clustering,14.0,85.99751199573473,0
Clustering,16.0,83.99324684556589,0
Clustering,18.0,81.99289141638518,0
Clustering,20.0,79.99982228540954,0
Clustering,22.0,77.99377998933724,0
Clustering,24.0,75.98969255375873,0
Clustering,26.0,73.98293939932475,0
Clustering,28.0,71.99733428114455,0
Clustering,30.0,69.98898169539724,0
Clustering,32.0,67.98258397014399,0
Clustering,34.0,65.99004798293949,0
Clustering,36.0,63.99857828327714,0
Clustering,38.0,61.9982228540964,0
Clustering,40.0,59.98578283277065,0
Clustering,42.0,57.93673360582912,0
Clustering,44.0,55.9976897103253,0
Clustering,46.0,53.99644570819272,0
Clustering,48.0,51.98258397014403,0
Clustering,50.0,49.99733428114456,0
Clustering,52.0,47.98809312244543,0
Clustering,54.0,45.99520170606014,0
Clustering,56.0,43.99449084769868,0
Clustering,58.0,41.96889994668572,0
Clustering,60.0,39.992535987204505,0
Clustering,62.0,37.93868846632304,0
Clustering,64.0,35.98489425981868,0
Clustering,66.0,33.994668562288915,0
Clustering,68.0,31.997511995734797,0
Clustering,70.0,29.99377998933707,0
Clustering,72.0,27.98258397014389,0
Clustering,74.0,25.99484627687927,0
Clustering,76.0,23.992891416385223,0
Clustering,78.0,21.998045139505937,0
Clustering,80.0,19.99093655589122,0
Clustering,82.0,17.993957703927475,0
Clustering,84.0,15.986138261951286,0
Clustering,86.0,13.995734849831146,0
Clustering,88.0,11.996445708192606,0
Clustering,90.0,9.996978851963709,0
Clustering,92.0,7.99768971032518,0
Clustering,94.0,7.690421183579133,0
Clustering,96.0,7.649724542384891,0
Clustering,98.0,7.649724542384891,0
Clustering,100.0,7.638350808601348,0
