metric,demand_pct,policy,mean_value,std_value,n_seeds,paper_value
unalloc_gpu_pct,40,dotprod,60.09,0.06,3,
unalloc_gpu_pct,40,fgd,60.0,0.0,3,
unalloc_gpu_pct,40,gpuclustering,61.97,0.44,3,
unalloc_gpu_pct,40,gpupacking,60.0,0.0,3,
unalloc_gpu_pct,40,random,60.0,0.0,3,
unalloc_gpu_pct,45,bestfit,55.0,0.0,3,
unalloc_gpu_pct,45,dotprod,55.17,0.06,3,
unalloc_gpu_pct,45,fgd,55.0,0.0,3,
unalloc_gpu_pct,45,gpuclustering,57.23,0.47,3,
unalloc_gpu_pct,45,gpupacking,55.0,0.0,3,
unalloc_gpu_pct,45,random,55.04,0.06,3,
unalloc_gpu_pct,50,bestfit,50.0,0.0,3,
unalloc_gpu_pct,50,dotprod,50.3,0.16,3,
unalloc_gpu_pct,50,fgd,50.0,0.0,3,
unalloc_gpu_pct,50,gpuclustering,52.87,0.47,3,
unalloc_gpu_pct,50,gpupacking,50.0,0.0,3,
unalloc_gpu_pct,50,random,50.13,0.11,3,
unalloc_gpu_pct,55,bestfit,45.0,0.0,3,
unalloc_gpu_pct,55,dotprod,45.39,0.18,3,
unalloc_gpu_pct,55,fgd,45.0,0.0,3,
unalloc_gpu_pct,55,gpuclustering,48.16,0.52,3,
unalloc_gpu_pct,55,gpupacking,45.0,0.0,3,
unalloc_gpu_pct,55,random,45.13,0.11,3,
unalloc_gpu_pct,60,bestfit,40.0,0.0,3,
unalloc_gpu_pct,60,dotprod,40.56,0.32,3,
unalloc_gpu_pct,60,fgd,40.0,0.0,3,
unalloc_gpu_pct,60,gpuclustering,43.39,0.61,3,
unalloc_gpu_pct,60,gpupacking,40.0,0.0,3,
unalloc_gpu_pct,60,random,40.17,0.12,3,
unalloc_gpu_pct,65,bestfit,35.0,0.0,3,
unalloc_gpu_pct,65,dotprod,35.82,0.42,3,
unalloc_gpu_pct,65,fgd,35.0,0.0,3,
unalloc_gpu_pct,65,gpuclustering,38.78,0.66,3,
unalloc_gpu_pct,65,gpupacking,35.0,0.0,3,
unalloc_gpu_pct,65,random,35.39,0.18,3,
unalloc_gpu_pct,70,bestfit,30.0,0.0,3,
unalloc_gpu_pct,70,dotprod,31.16,0.63,3,
unalloc_gpu_pct,70,fgd,30.0,0.0,3,
unalloc_gpu_pct,70,gpuclustering,34.25,0.84,3,
unalloc_gpu_pct,70,gpupacking,30.0,0.0,3,
unalloc_gpu_pct,70,random,30.73,0.4,3,
unalloc_gpu_pct,75,bestfit,25.0,0.0,3,25.0
unalloc_gpu_pct,75,dotprod,26.5,0.53,3,25.0
unalloc_gpu_pct,75,fgd,25.0,0.0,3,25.0
unalloc_gpu_pct,75,gpuclustering,29.7,0.71,3,25.0
unalloc_gpu_pct,75,gpupacking,25.0,0.0,3,25.0
unalloc_gpu_pct,75,random,26.07,0.37,3,25.0
unalloc_gpu_pct,80,bestfit,20.0,0.0,3,20.0
unalloc_gpu_pct,80,dotprod,21.76,0.58,3,22.0
unalloc_gpu_pct,80,fgd,20.0,0.0,3,20.0
unalloc_gpu_pct,80,gpuclustering,24.99,0.72,3,21.0
unalloc_gpu_pct,80,gpupacking,20.0,0.0,3,20.0
unalloc_gpu_pct,80,random,21.33,0.53,3,23.0
unalloc_gpu_pct,85,bestfit,15.0,0.0,3,13.0
unalloc_gpu_pct,85,dotprod,16.93,0.55,3,17.0
unalloc_gpu_pct,85,fgd,15.0,0.0,3,12.5
unalloc_gpu_pct,85,gpuclustering,20.19,0.66,3,15.0
unalloc_gpu_pct,85,gpupacking,15.0,0.0,3,13.0
unalloc_gpu_pct,85,random,16.5,0.54,3,20.5
unalloc_gpu_pct,90,bestfit,10.0,0.0,3,8.0
unalloc_gpu_pct,90,dotprod,12.46,0.63,3,13.0
unalloc_gpu_pct,90,fgd,10.0,0.0,3,7.5
unalloc_gpu_pct,90,gpuclustering,15.84,0.77,3,9.5
unalloc_gpu_pct,90,gpupacking,10.0,0.0,3,8.0
unalloc_gpu_pct,90,random,12.03,0.56,3,18.0
unalloc_gpu_pct,95,bestfit,5.25,0.27,3,7.0
unalloc_gpu_pct,95,dotprod,8.13,0.44,3,10.5
unalloc_gpu_pct,95,fgd,5.09,0.13,3,5.5
unalloc_gpu_pct,95,gpuclustering,11.35,0.68,3,7.5
unalloc_gpu_pct,95,gpupacking,5.34,0.18,3,7.0
unalloc_gpu_pct,95,random,8.75,0.13,3,15.5
unalloc_gpu_pct,100,bestfit,5.15,0.33,3,6.5
unalloc_gpu_pct,100,dotprod,6.79,0.22,3,10.0
unalloc_gpu_pct,100,fgd,4.62,0.17,3,5.0
unalloc_gpu_pct,100,gpuclustering,8.6,0.11,3,7.0
unalloc_gpu_pct,100,gpupacking,5.3,0.17,3,6.5
unalloc_gpu_pct,100,random,8.14,0.12,3,13.0
unalloc_gpu_pct,105,bestfit,5.13,0.32,3,6.5
unalloc_gpu_pct,105,dotprod,6.31,0.18,3,10.0
unalloc_gpu_pct,105,fgd,4.59,0.17,3,5.0
unalloc_gpu_pct,105,gpuclustering,7.99,0.12,3,7.0
unalloc_gpu_pct,105,gpupacking,5.28,0.17,3,6.5
unalloc_gpu_pct,105,random,7.64,0.11,3,12.0
unalloc_gpu_pct,110,bestfit,5.1,0.29,3,6.5
unalloc_gpu_pct,110,dotprod,5.89,0.2,3,10.0
unalloc_gpu_pct,110,fgd,4.55,0.13,3,5.0
unalloc_gpu_pct,110,gpuclustering,7.38,0.07,3,7.0
unalloc_gpu_pct,110,gpupacking,5.24,0.13,3,6.5
unalloc_gpu_pct,110,random,7.2,0.14,3,11.5
unalloc_gpu_pct,115,bestfit,5.05,0.27,3,6.5
unalloc_gpu_pct,115,dotprod,5.5,0.19,3,9.5
unalloc_gpu_pct,115,fgd,4.51,0.1,3,5.0
unalloc_gpu_pct,115,gpuclustering,6.87,0.13,3,7.0
unalloc_gpu_pct,115,gpupacking,5.21,0.12,3,6.5
unalloc_gpu_pct,115,random,6.94,0.17,3,11.0
unalloc_gpu_pct,120,bestfit,5.03,0.27,3,6.5
unalloc_gpu_pct,120,dotprod,5.33,0.19,3,9.5
unalloc_gpu_pct,120,fgd,4.48,0.1,3,5.0
unalloc_gpu_pct,120,gpuclustering,6.59,0.08,3,7.0
unalloc_gpu_pct,120,gpupacking,5.2,0.11,3,6.5
unalloc_gpu_pct,120,random,6.75,0.16,3,10.5
