metric,demand_pct,policy,mean_value,std_value,n_seeds,paper_value
frag_over_total_pct,80,dotprod,9.74,0.17,3,
frag_over_total_pct,80,fgd,6.05,0.03,3,5.7
frag_over_total_pct,80,gpuclustering,12.71,0.13,3,9.3
frag_over_total_pct,80,gpupacking,6.87,0.11,3,
frag_over_total_pct,80,random,10.6,0.14,3,
frag_over_total_pct,85,bestfit,6.21,0.26,3,
frag_over_total_pct,85,dotprod,9.1,0.1,3,
frag_over_total_pct,85,fgd,5.51,0.05,3,
frag_over_total_pct,85,gpuclustering,11.87,0.09,3,9
frag_over_total_pct,85,gpupacking,6.34,0.13,3,
frag_over_total_pct,85,random,9.99,0.08,3,15.5
frag_over_total_pct,90,bestfit,5.7,0.28,3,
frag_over_total_pct,90,dotprod,8.3,0.1,3,
frag_over_total_pct,90,fgd,4.96,0.04,3,5.2
frag_over_total_pct,90,gpuclustering,10.74,0.03,3,8.4
frag_over_total_pct,90,gpupacking,5.83,0.15,3,
frag_over_total_pct,90,random,9.37,0.08,3,14.6
frag_over_total_pct,95,bestfit,5.19,0.32,3,
frag_over_total_pct,95,dotprod,7.54,0.09,3,
frag_over_total_pct,95,fgd,4.48,0.11,3,4.5
frag_over_total_pct,95,gpuclustering,9.36,0.13,3,
frag_over_total_pct,95,gpupacking,5.33,0.18,3,
frag_over_total_pct,95,random,8.46,0.12,3,14
frag_over_total_pct,100,bestfit,5.14,0.33,3,
frag_over_total_pct,100,dotprod,6.58,0.19,3,
frag_over_total_pct,100,fgd,4.61,0.17,3,4.6
frag_over_total_pct,100,gpuclustering,8.31,0.1,3,8
frag_over_total_pct,100,gpupacking,5.29,0.17,3,
frag_over_total_pct,100,random,7.96,0.11,3,13.5
frag_over_total_pct,105,bestfit,5.12,0.32,3,
frag_over_total_pct,105,dotprod,6.16,0.16,3,
frag_over_total_pct,105,fgd,4.58,0.17,3,
frag_over_total_pct,105,gpuclustering,7.78,0.11,3,
frag_over_total_pct,105,gpupacking,5.27,0.17,3,
frag_over_total_pct,105,random,7.53,0.1,3,13.4
frag_over_total_pct,110,bestfit,5.09,0.29,3,
frag_over_total_pct,110,dotprod,5.8,0.19,3,
frag_over_total_pct,110,fgd,4.54,0.13,3,4.6
frag_over_total_pct,110,gpuclustering,7.25,0.06,3,8
frag_over_total_pct,110,gpupacking,5.23,0.13,3,
frag_over_total_pct,110,random,7.14,0.13,3,
frag_over_total_pct,115,bestfit,5.04,0.27,3,
frag_over_total_pct,115,dotprod,5.46,0.19,3,
frag_over_total_pct,115,fgd,4.5,0.1,3,
frag_over_total_pct,115,gpuclustering,6.81,0.11,3,
frag_over_total_pct,115,gpupacking,5.2,0.12,3,
frag_over_total_pct,115,random,6.89,0.16,3,12.6
frag_over_total_pct,120,bestfit,5.02,0.27,3,
frag_over_total_pct,120,dotprod,5.29,0.19,3,
frag_over_total_pct,120,fgd,4.47,0.1,3,4.7
frag_over_total_pct,120,gpuclustering,6.55,0.08,3,8.1
frag_over_total_pct,120,gpupacking,5.19,0.11,3,
frag_over_total_pct,120,random,6.72,0.16,3,12.7
frag_rate_pct,0,bestfit,14.96,0.0,3,
frag_rate_pct,0,dotprod,14.99,0.01,3,
frag_rate_pct,0,fgd,14.94,0.01,3,14
frag_rate_pct,0,gpuclustering,14.99,0.01,3,15
frag_rate_pct,0,gpupacking,14.95,0.0,3,
frag_rate_pct,0,random,14.99,0.01,3,15
frag_rate_pct,5,bestfit,15.04,0.07,3,
frag_rate_pct,5,dotprod,15.57,0.02,3,
frag_rate_pct,5,fgd,14.89,0.01,3,
frag_rate_pct,5,gpuclustering,16.02,0.08,3,
frag_rate_pct,5,gpupacking,15.01,0.03,3,
frag_rate_pct,5,random,16.02,0.07,3,
frag_rate_pct,10,bestfit,15.27,0.05,3,
frag_rate_pct,10,dotprod,16.27,0.07,3,
frag_rate_pct,10,fgd,15.1,0.03,3,14
frag_rate_pct,10,gpuclustering,16.86,0.04,3,15
frag_rate_pct,10,gpupacking,15.27,0.03,3,
frag_rate_pct,10,random,17.08,0.14,3,15
frag_rate_pct,15,bestfit,15.46,0.09,3,
frag_rate_pct,15,dotprod,17.12,0.21,3,
frag_rate_pct,15,fgd,15.28,0.01,3,
frag_rate_pct,15,gpuclustering,17.67,0.14,3,
frag_rate_pct,15,gpupacking,15.59,0.06,3,
frag_rate_pct,15,random,18.1,0.13,3,
frag_rate_pct,20,bestfit,15.83,0.12,3,
frag_rate_pct,20,dotprod,17.67,0.18,3,
frag_rate_pct,20,fgd,15.51,0.02,3,14
frag_rate_pct,20,gpuclustering,18.24,0.12,3,15
frag_rate_pct,20,gpupacking,16.16,0.07,3,
frag_rate_pct,20,random,19.16,0.05,3,16
frag_rate_pct,25,bestfit,16.17,0.11,3,
frag_rate_pct,25,dotprod,18.67,0.24,3,
frag_rate_pct,25,fgd,15.84,0.03,3,
frag_rate_pct,25,gpuclustering,19.05,0.19,3,
frag_rate_pct,25,gpupacking,16.56,0.13,3,
frag_rate_pct,25,random,20.2,0.14,3,
frag_rate_pct,30,bestfit,16.9,0.25,3,
frag_rate_pct,30,dotprod,19.45,0.23,3,
frag_rate_pct,30,fgd,16.23,0.04,3,14
frag_rate_pct,30,gpuclustering,19.73,0.12,3,15
frag_rate_pct,30,gpupacking,17.0,0.12,3,
frag_rate_pct,30,random,21.38,0.12,3,23
frag_rate_pct,35,bestfit,17.44,0.26,3,
frag_rate_pct,35,dotprod,20.38,0.3,3,
frag_rate_pct,35,fgd,16.69,0.06,3,
frag_rate_pct,35,gpuclustering,20.68,0.15,3,
frag_rate_pct,35,gpupacking,17.58,0.13,3,
frag_rate_pct,35,random,22.5,0.2,3,25
frag_rate_pct,40,bestfit,18.06,0.25,3,
frag_rate_pct,40,dotprod,21.2,0.29,3,
