scheduler,arrived_workload_pct,frag_rate,frag_total_pct,run
Random,5.0,15.010463108326377,14.258369315269936,0
Random,10.0,16.005944662739978,14.404525679033256,0
Random,15.0,17.020418301629743,14.466971966790599,0
Random,20.0,18.256997476387735,14.6044223856513,0
Random,25.0,19.229667836451046,14.422096098942951,0
Random,30.0,20.580259877190688,14.40485672022299,0
Random,35.0,21.84738124354117,14.200586790453338,0
Random,40.0,23.39637284192798,14.037145767759595,0
Random,45.0,25.461364943218324,14.00125048814947,0
Random,50.0,27.916570115288998,13.955858311369212,0
Random,55.0,31.253731642981545,14.061110215468203,0
Random,60.0,35.3624507511789,14.142930963338532,0
Random,65.0,40.31238663226873,14.25898175331923,0
Random,70.0,46.249718495874774,14.345900286696953,0
Random,75.0,55.43956872111732,14.565470464743552,0
Random,80.0,67.60323848974917,14.472447317768527,0
Random,85.0,86.91760398761753,14.590880008745582,0
Random,90.0,98.10295845351334,13.6169180452282,0
Random,95.0,98.89540296781479,13.120834556340002,0
Random,100.0,99.11447837240512,12.874032567470445,0
Random,105.0,99.26313707334927,12.694879568463172,0
Random,110.0,99.41607745036411,12.486864177378013,0
Random,115.0,99.47158595529315,12.354844954872197,0
Random,120.0,99.48446010203496,12.286298792833108,0
Random,5.0,15.014452690858048,14.262763253179864,1
Random,10.0,16.04279342680198,14.437765144956641,1
Random,15.0,17.089489258007266,14.52515802457739,1
Random,20.0,18.018537417489853,14.414104783580676,1
Random,25.0,19.213192304289915,14.407327108189671,1
Random,30.0,20.363100853791817,14.253154409427532,1
Random,35.0,21.64075955524875,14.065274415057846,1
Random,40.0,23.279816951078587,13.964629797056165,1
Random,45.0,25.09769858427736,13.801471711499522,1
Random,50.0,27.582351887132944,13.824477237699394,1
Random,55.0,30.765552751540977,13.880603194014283,1
Random,60.0,35.00135952446527,14.041393754498388,1
Random,65.0,40.47657700649996,14.268840457735724,1
Random,70.0,45.88268825274763,14.29084721268214,1
Random,75.0,54.77505132587407,14.468567042673413,1
Random,80.0,67.25115074030104,14.39772221386696,1
Random,85.0,85.32478921582884,14.326103533823192,1
Random,90.0,97.71230265106499,13.278460162419467,1
Random,95.0,98.97237391855928,12.662951234180916,1
Random,100.0,99.11694074441498,12.44865376187905,1
Random,105.0,99.23525817830637,12.230921292923144,1
Random,110.0,99.33713937297318,12.073012473246516,1
Random,115.0,99.44679739448891,11.893273457874077,1
Random,120.0,99.4864299070372,11.77021197615551,1
Random,5.0,15.132591877674006,14.375231476069231,2
Random,10.0,16.15302370513409,14.536941246547336,2
Random,15.0,17.171018849545955,14.594951396739395,2
Random,20.0,18.384634509954203,14.7056063377602,2
Random,25.0,19.502010716030803,14.623839539098341,2
Random,30.0,20.81733736363372,14.569823861758538,2
Random,35.0,22.226580813776987,14.445774765925165,2
Random,40.0,23.862445180103613,14.31696773300209,2
Random,45.0,25.700112233109206,14.13439978069604,2
Random,50.0,28.611433077326797,14.301156764235461,2
Random,55.0,31.351342981724617,14.10664074076764,2
Random,60.0,35.30847414336138,14.255995372374318,2
Random,65.0,39.88578368999787,14.26693679317056,2
Random,70.0,46.36117781427781,14.26427165882991,2
Random,75.0,55.04086258947797,14.253740445539847,2
Random,80.0,65.88699770682453,14.216403130444236,2
Random,85.0,82.91156275889536,13.926793471529622,2
Random,90.0,96.66534496344516,13.250092495641358,2
Random,95.0,98.83461087099506,12.55511399396649,2
Random,100.0,99.04160058990304,12.333007038041494,2
Random,105.0,99.23921529075837,12.133959044098967,2
Random,110.0,99.36364808482486,11.953709189753937,2
Random,115.0,99.45660497098918,11.784935252261091,2
Random,120.0,99.47473368593914,11.670026025161306,2
Random,5.0,14.848422888946825,14.105404174357448,3
Random,10.0,15.92870518433243,14.333578184804157,3
Random,15.0,17.041014993595244,14.48351855631594,3
Random,20.0,17.9979368661,14.396755985913417,3
Random,25.0,19.162651425101917,14.36967498406005,3
Random,30.0,20.59836261761853,14.418688037398836,3
Random,35.0,22.01448097868406,14.290382088357239,3
Random,40.0,23.556616302477714,14.13252877791375,3
Random,45.0,25.408961807150664,13.97255661823293,3
Random,50.0,28.434686792164353,14.251811070187973,3
Random,55.0,31.547036958574857,14.236387579960125,3
Random,60.0,35.945326882427516,14.422339107346732,3
Random,65.0,41.253243127884815,14.597950178893331,3
Random,70.0,47.808852216452905,14.828594320593819,3
Random,75.0,56.56098275506641,14.933938680839919,3
Random,80.0,68.73276862870154,14.800891382312953,3
Random,85.0,86.5795995782172,14.538041616877464,3
Random,90.0,98.4041874483254,13.340167156448551,3
Random,95.0,98.8759150525646,12.979930973449047,3
Random,100.0,99.010313290847,12.820337346848973,3
Random,105.0,99.17822356449666,12.558051401984269,3
Random,110.0,99.28247443267175,12.386975045765942,3
Random,115.0,99.40684614559277,12.165176836500512,3
Random,120.0,99.45968330616174,12.027865082113326,3
Random,5.0,14.955944654965004,14.207906663287984,4
