proportion,scheduler,unalloc_gpu_pct,std
5,Random,9.58,0.22
5,BestFit,5.88,0.21
5,DotProd,7.18,0.12
5,Packing,5.76,0.18
5,Clustering,5.73,0.17
5,FGD,4.55,0.15
10,Random,11.18,0.41
10,BestFit,5.93,0.14
10,DotProd,8.95,0.30
10,Packing,5.60,0.18
10,Clustering,5.69,0.20
10,FGD,4.55,0.17
20,Random,16.32,0.61
20,BestFit,7.39,0.35
20,DotProd,13.33,0.42
20,Packing,7.88,0.58
20,Clustering,5.71,0.13
20,FGD,4.90,0.12
25,Random,20.03,0.60
25,BestFit,9.85,0.69
25,DotProd,16.35,0.42
25,Packing,11.80,0.45
25,Clustering,6.48,0.52
25,FGD,5.63,0.49
