scheduler,cause,pct,run
Random,deficient,36.395165267247016,0
Random,stranded,50.17891368956665,0
Random,non_gpu,13.425921043186328,0
Random,deficient,32.948980777892764,1
Random,stranded,53.63178924343902,1
Random,non_gpu,13.41922997866821,1
Random,deficient,34.33591597526437,2
Random,stranded,52.24525250366878,2
Random,non_gpu,13.418831521066842,2
Random,deficient,35.476580906863894,3
Random,stranded,51.107514713795844,3
Random,non_gpu,13.415904379340244,3
Random,deficient,33.88071463412435,4
Random,stranded,52.701270611532614,4
Random,non_gpu,13.418014754343035,4
Random,deficient,34.184680993145086,5
Random,stranded,52.39906383543492,5
Random,non_gpu,13.416255171419996,5
Random,deficient,35.52444605972283,6
Random,stranded,51.05792210033779,6
Random,non_gpu,13.417631839939387,6
Random,deficient,28.94445391035218,7
Random,stranded,57.63999144466152,7
Random,non_gpu,13.4155546449863,7
Random,deficient,34.99446660988763,8
Random,stranded,51.58632420898033,8
Random,non_gpu,13.419209181132038,8
Random,deficient,33.38590682066575,9
Random,stranded,53.18765907268941,9
Random,non_gpu,13.426434106644821,9
BestFit,deficient,60.13863729376035,0
BestFit,stranded,26.465777451207234,0
BestFit,non_gpu,13.395585255032419,0
BestFit,deficient,62.52363314207797,1
BestFit,stranded,24.084399214325146,1
BestFit,non_gpu,13.39196764359688,1
BestFit,deficient,60.27353301679447,2
BestFit,stranded,26.332971554738183,2
BestFit,non_gpu,13.393495428467356,2
BestFit,deficient,60.53394493066288,3
BestFit,stranded,26.07525652983309,3
BestFit,non_gpu,13.39079853950404,3
BestFit,deficient,58.1622251633782,4
BestFit,stranded,28.447020484063167,4
BestFit,non_gpu,13.39075435255864,4
BestFit,deficient,61.630212182125085,5
BestFit,stranded,24.980191572740235,5
BestFit,non_gpu,13.389596245134683,5
BestFit,deficient,60.87256195757875,6
BestFit,stranded,25.7383405740182,6
BestFit,non_gpu,13.389097468403058,6
BestFit,deficient,59.12247940655183,7
BestFit,stranded,27.488489147331034,7
BestFit,non_gpu,13.389031446117135,7
BestFit,deficient,66.89381077388964,8
BestFit,stranded,19.714007541540678,8
BestFit,non_gpu,13.39218168456969,8
BestFit,deficient,62.99282063509818,9
BestFit,stranded,23.61663277863407,9
BestFit,non_gpu,13.390546586267751,9
BestFit-PN,deficient,68.96826341069978,0
BestFit-PN,stranded,17.647053302562007,0
BestFit-PN,non_gpu,13.384683286738221,0
BestFit-PN,deficient,68.04973123352077,1
BestFit-PN,stranded,18.56597871020782,1
BestFit-PN,non_gpu,13.384290056271414,1
BestFit-PN,deficient,68.08860494342481,2
BestFit-PN,stranded,18.53010183148674,2
BestFit-PN,non_gpu,13.38129322508843,2
BestFit-PN,deficient,67.48323066471876,3
BestFit-PN,stranded,19.131600642154844,3
BestFit-PN,non_gpu,13.385168693126396,3
BestFit-PN,deficient,71.90718448844561,4
BestFit-PN,stranded,14.713590408988916,4
BestFit-PN,non_gpu,13.379225102565476,4
BestFit-PN,deficient,70.96066153470433,5
BestFit-PN,stranded,15.654898496776084,5
BestFit-PN,non_gpu,13.384439968519581,5
BestFit-PN,deficient,69.44952742985302,6
BestFit-PN,stranded,17.164305212891808,6
BestFit-PN,non_gpu,13.386167357255157,6
BestFit-PN,deficient,65.02135548550643,7
BestFit-PN,stranded,21.595632189871385,7
BestFit-PN,non_gpu,13.383012324622179,7
BestFit-PN,deficient,72.01882506602524,8
BestFit-PN,stranded,14.595226850100154,8
BestFit-PN,non_gpu,13.385948083874597,8
BestFit-PN,deficient,70.04192070368347,9
BestFit-PN,stranded,16.57539340370246,9
BestFit-PN,non_gpu,13.382685892614063,9
DotProd,deficient,38.01236736474552,0
DotProd,stranded,48.58559889409166,0
DotProd,non_gpu,13.402033741162834,0
DotProd,deficient,41.896248037100605,1
DotProd,stranded,44.70329001414907,1
DotProd,non_gpu,13.400461948750314,1
DotProd,deficient,38.741090913162495,2
DotProd,stranded,47.85893308403287,2
DotProd,non_gpu,13.399976002804612,2
DotProd,deficient,42.17433863279165,3
DotProd,stranded,44.426494509043984,3
DotProd,non_gpu,13.399166858164369,3
DotProd,deficient,40.27668154577081,4
DotProd,stranded,46.324177358654886,4
DotProd,non_gpu,13.399141095574313,4
DotProd,deficient,38.402220701882364,5
DotProd,stranded,48.19842349983156,5
DotProd,non_gpu,13.399355798286072,5
DotProd,deficient,40.45334505484374,6
DotProd,stranded,46.1490201678109,6
DotProd,non_gpu,13.397634777345363,6
DotProd,deficient,38.58357528288748,7
DotProd,stranded,48.01758334011993,7
DotProd,non_gpu,13.398841376992603,7
DotProd,deficient,42.467718391498316,8
DotProd,stranded,44.12955705594475,8
DotProd,non_gpu,13.402724552556942,8
DotProd,deficient,40.73315665204993,9
DotProd,stranded,45.86907274862853,9
DotProd,non_gpu,13.397770599321538,9
Packing,deficient,70.3733227347581,0
Packing,stranded,16.226616657685575,0
Packing,non_gpu,13.400060607556322,0
Packing,deficient,72.31948360685789,1
Packing,stranded,14.2826272478879,1
Packing,non_gpu,13.397889145254208,1
