scheduler,cause,pct,run
Random,deficient,35.40972789982788,0
Random,stranded,51.16216880903933,0
Random,non_gpu,13.428103291132794,0
Random,deficient,33.66143203424133,1
Random,stranded,52.91749103217075,1
Random,non_gpu,13.421076933587923,1
Random,deficient,32.06078746108277,2
Random,stranded,54.51774736627154,2
Random,non_gpu,13.421465172645691,2
Random,deficient,34.02636281394291,3
Random,stranded,52.55178978921193,3
Random,non_gpu,13.421847396845143,3
Random,deficient,34.72513772898358,4
Random,stranded,51.851911665515814,4
Random,non_gpu,13.422950605500606,4
Random,deficient,32.148884981469465,5
Random,stranded,54.42969218781717,5
Random,non_gpu,13.421422830713361,5
Random,deficient,33.79710089535624,6
Random,stranded,52.781767768733786,6
Random,non_gpu,13.42113133590998,6
Random,deficient,33.16858431604939,7
Random,stranded,53.412995675135164,7
Random,non_gpu,13.41842000881545,7
Random,deficient,34.20190849927665,8
Random,stranded,52.37532159078143,8
Random,non_gpu,13.422769909941914,8
Random,deficient,34.521799586291266,9
Random,stranded,52.054952211423114,9
Random,non_gpu,13.423248202285611,9
BestFit,deficient,68.96552987430717,0
BestFit,stranded,17.64860780346098,0
BestFit,non_gpu,13.385862322231853,0
BestFit,deficient,68.04733019176116,1
BestFit,stranded,18.567373931340907,1
BestFit,non_gpu,13.385295876897915,1
BestFit,deficient,68.08560294507001,2
BestFit,stranded,18.531845012413626,2
BestFit,non_gpu,13.382552042516377,2
BestFit,deficient,67.48085830001834,3
BestFit,stranded,19.132996449147786,3
BestFit,non_gpu,13.386145250833875,3
BestFit,deficient,71.90536149035951,4
BestFit,stranded,14.714545202827367,4
BestFit,non_gpu,13.380093306813118,4
BestFit,deficient,70.9587244579341,5
BestFit,stranded,15.655942760930206,5
BestFit,non_gpu,13.385332781135709,5
BestFit,deficient,69.44727817847635,6
BestFit,stranded,17.165568919600148,6
BestFit,non_gpu,13.3871529019235,6
BestFit,deficient,65.0184469098531,7
BestFit,stranded,21.597427929268317,7
BestFit,non_gpu,13.384125160878588,7
BestFit,deficient,72.01735834253368,8
BestFit,stranded,14.595991905968479,8
BestFit,non_gpu,13.386649751497846,8
BestFit,deficient,70.04007886161064,9
BestFit,stranded,16.576412469599276,9
BestFit,non_gpu,13.383508668790098,9
DotProd,deficient,37.997512189281125,0
DotProd,stranded,48.5972423069134,0
DotProd,non_gpu,13.405245503805494,0
DotProd,deficient,41.88693479982305,1
DotProd,stranded,44.71045534053377,1
DotProd,non_gpu,13.402609859643183,1
DotProd,deficient,38.729441365977294,2
DotProd,stranded,47.86803437080908,2
DotProd,non_gpu,13.402524263213625,2
DotProd,deficient,42.16530807134426,3
