scheduler,arrived_workload_pct,frag_rate,run
Random,5.0,14.534284284731621,0
Random,10.0,15.194122210372171,0
Random,15.0,15.809037670702939,0
Random,20.0,16.686623457218673,0
Random,25.0,17.33528642797856,0
Random,30.0,18.266085249622325,0
Random,35.0,19.157981107961696,0
Random,40.0,20.30347405604182,0
Random,45.0,22.084473757617925,0
Random,50.0,24.101879502022566,0
Random,55.0,26.940653927974513,0
Random,60.0,30.68585194169996,0
Random,65.0,35.57797834339057,0
Random,70.0,41.48959572518908,0
Random,75.0,51.12715495700889,0
Random,80.0,64.3623588355907,0
Random,85.0,85.6326946181747,0
Random,90.0,98.06722965888738,0
Random,95.0,98.8580237913363,0
Random,100.0,99.07638914024335,0
Random,105.0,99.22445238230543,0
Random,110.0,99.37678897421827,0
Random,115.0,99.43198347220081,0
Random,120.0,99.44474920333847,0
Random,5.0,14.573943094257668,1
Random,10.0,15.229395279592344,1
Random,15.0,15.869637122109687,1
Random,20.0,16.51853719038623,1
Random,25.0,17.340742416876846,1
Random,30.0,18.21036409360797,1
Random,35.0,19.07577255929572,1
Random,40.0,20.282938073915382,1
Random,45.0,21.712770012472056,1
Random,50.0,23.83716043637238,1
Random,55.0,26.534596550206718,1
Random,60.0,30.58504675880075,1
Random,65.0,35.657569606194436,1
Random,70.0,40.916000480689995,1
Random,75.0,50.25775396633221,1
Random,80.0,63.49265813933086,1
Random,85.0,83.5032436204912,1
Random,90.0,97.6599961906937,1
Random,95.0,98.93731904741063,1
Random,100.0,99.08171852842595,1
Random,105.0,99.19962778546574,1
Random,110.0,99.30112547938428,1
Random,115.0,99.41032040532585,1
Random,120.0,99.44976031369313,1
Random,5.0,14.63117039738214,2
Random,10.0,15.254521834891055,2
Random,15.0,15.850366994677112,2
Random,20.0,16.774753206304304,2
Random,25.0,17.566092597821743,2
Random,30.0,18.489616782434343,2
Random,35.0,19.616123081763533,2
Random,40.0,20.869288296623736,2
Random,45.0,22.226620505026894,2
Random,50.0,24.81933227328232,2
Random,55.0,27.22464090684876,2
Random,60.0,30.658680796350406,2
Random,65.0,35.069441414209955,2
Random,70.0,41.356250183975774,2
Random,75.0,50.207037719885506,2
Random,80.0,62.2191406415761,2
Random,85.0,81.26441585099653,2
Random,90.0,96.51794647196407,2
Random,95.0,98.80475655743373,2
Random,100.0,99.0111449755618,2
Random,105.0,99.20815002226254,2
Random,110.0,99.3319427072,2
Random,115.0,99.42485241155951,2
Random,120.0,99.44309623122719,2
BestFit,5.0,14.140690053644692,0
BestFit,10.0,14.578168438669678,0
BestFit,15.0,14.947309142765452,0
BestFit,20.0,15.338470520738461,0
BestFit,25.0,15.890099872444969,0
BestFit,30.0,16.426320147949458,0
BestFit,35.0,16.999303240365034,0
