scheduler,arrived_pct,unalloc_gpu_pct,run
Random,2.0,97.98951483916811,0
Random,4.0,95.99751199573461,0
Random,6.0,93.99342456015607,0
Random,8.0,91.99164741425237,0
Random,10.0,89.99164741425231,0
Random,12.0,87.98738226408351,0
Random,14.0,85.99377998933683,0
Random,16.0,83.9893371245777,0
Random,18.0,81.98809312244526,0
Random,20.0,79.89194952905643,0
Random,22.0,77.93708903500993,0
Random,24.0,75.9822285409634,0
Random,26.0,73.95628221076974,0
Random,28.0,71.9836502576864,0
Random,30.0,69.99324684556628,0
Random,32.0,67.98507197440937,0
Random,34.0,65.9946685622892,0
Random,36.0,63.986493691132296,0
Random,38.0,61.99609027901214,0
Random,40.0,59.98791540785523,0
Random,42.0,57.99751199573508,0
Random,44.0,55.989337124578164,0
Random,46.0,53.99893371245803,0
Random,48.0,51.99075884130111,0
Random,50.0,49.98258397014419,0
Random,52.0,47.99218055802405,0
Random,54.0,45.984005686867135,0
Random,56.0,43.993602274747005,0
Random,58.0,41.985427403590094,0
Random,60.0,39.99502399146998,0
Random,62.0,37.98684912031311,0
Random,64.0,35.996445708192994,0
Random,66.0,33.98827083703607,0
Random,68.0,31.997867424915917,0
Random,70.0,29.989692553758996,0
Random,72.0,27.999289141638855,0
Random,74.0,25.991114270481923,0
Random,76.0,23.982939399324994,0
Random,78.0,21.992535987204853,0
Random,80.0,19.984361116047868,0
Random,82.0,17.993957703927656,0
Random,84.0,16.85658432557329,0
Random,86.0,16.358983472543255,0
Random,88.0,15.896925537586789,0
Random,90.0,15.541496356851042,0
Random,92.0,15.150524258041726,0
Random,94.0,14.724009241158834,0
Random,96.0,14.40412297849667,0
Random,98.0,14.05917895859263,0
Random,100.0,13.405366980629232,0
Random,102.0,12.83063799537954,0
Random,104.0,12.742313843966702,0
Random,106.0,12.69059889816965,0
Random,108.0,12.601386173804974,0
Clustering,2.0,97.98951483916831,0
Clustering,4.0,95.9975119957349,0
Clustering,6.0,93.99342456015656,0
Clustering,8.0,91.991647414253,0
Clustering,10.0,89.99164741425314,0
Clustering,12.0,87.98738226408443,0
Clustering,14.0,85.99377998933774,0
Clustering,16.0,83.98933712457854,0
Clustering,18.0,81.98809312244597,0
Clustering,20.0,79.89194952905683,0
Clustering,22.0,77.93708903501,0
Clustering,24.0,75.98222854096345,0
Clustering,26.0,73.95628221076974,0
Clustering,28.0,71.98365025768638,0
Clustering,30.0,69.99324684556623,0
